group,n,machine_pct,human_hit_poststratified_pct,human_hit_difference_raw_pct,human_hit_lower_pct,human_hit_upper_pct,recall_model_pct,combined_scenario_pct,combined_lower_pct,combined_upper_pct,interval_label
Core EC conferences,4760,1.5126050420168067,1.6338808250572958,1.5431874613199317,1.0714285714285714,7.415966386554622,1.101282618310482,2.7351634433677776,1.3445378151260505,35.252100840336134,conditional SRS simultaneous working-design range; recall labels not human validated
Core EC journals,3171,2.712078208766951,3.5856784406823485,3.5088634857749064,2.4597918637653735,6.464837590665406,4.848441818236682,8.43412025891903,3.0274361400189216,24.314096499526965,conditional SRS simultaneous working-design range; recall labels not human validated
Mixed journals,26552,19.55784874962338,20.07758360952094,20.000427094237175,16.499698704429044,22.66872551973486,13.930280641541236,34.00786425106217,22.201717384754446,52.04504368785779,conditional SRS simultaneous working-design range; recall labels not human validated
SSCI (mixed conf.),882,18.140589569160998,18.140589569160998,18.140589569160998,12.471655328798185,20.294784580498867,23.396025076697345,41.53661464585835,17.346938775510203,72.78911564625851,conditional SRS simultaneous working-design range; recall labels not human validated
