task,weighting,n,effective_n,accuracy,kappa,binary_accuracy,binary_net_bias_pp
m1,unweighted,300,300.0,0.78,0.7438882421420256,0.8733333333333333,-1.3333333333333335
m1,two_stage,300,151.74911783816967,0.8156474720562666,0.7598561013168288,0.8811002736465207,-5.804029253557565
penetration,unweighted,300,300.0,0.9,0.8263218834426863,0.9433333333333334,-2.3333333333333335
penetration,two_stage,300,81.75355443326517,0.9427538850834796,0.8528081725454236,0.9732401088394231,-2.40596633513701
