scope,year,n,method_dev,propose_new,improve,hybrid,apply,theory,benchmark,review,other
ec_nonempty,2015,1998,1294,548,502,244,407,110,102,38,47
ec_nonempty,2016,2275,1511,695,573,243,488,122,87,42,25
ec_nonempty,2017,1874,1269,558,498,213,355,93,80,48,29
ec_nonempty,2018,2094,1383,633,507,243,412,110,105,42,42
ec_nonempty,2019,2288,1615,783,562,270,386,104,114,46,23
ec_nonempty,2020,2146,1532,747,555,230,339,107,99,53,16
ec_nonempty,2021,2262,1645,812,544,289,358,90,106,44,19
ec_nonempty,2022,2323,1705,904,548,253,331,107,125,36,19
ec_nonempty,2023,2246,1703,956,473,274,289,93,108,38,15
ec_nonempty,2024,2703,2086,1271,526,289,311,107,119,56,24
ec_nonempty,2025,2548,2004,1336,407,261,240,100,141,51,12
historical_notnull,1990,1,0,0,0,0,1,0,0,0,0
historical_notnull,1991,64,33,10,17,6,15,9,2,2,3
historical_notnull,1992,59,30,8,17,5,10,12,2,1,4
historical_notnull,1994,61,39,14,18,7,7,10,5,0,0
historical_notnull,1995,8,3,0,2,1,1,0,2,2,0
historical_notnull,1996,144,79,32,36,11,30,18,11,6,0
historical_notnull,1997,147,65,46,14,5,28,17,2,8,27
historical_notnull,1998,283,148,71,61,16,29,50,12,8,36
historical_notnull,1999,180,69,51,11,7,23,40,1,8,39
historical_notnull,2000,560,284,147,88,49,136,70,23,11,36
historical_notnull,2001,496,236,117,82,37,116,69,20,19,36
historical_notnull,2002,702,382,205,111,66,169,67,29,14,41
historical_notnull,2003,1041,539,283,174,82,256,137,29,17,63
historical_notnull,2004,1214,611,296,225,90,313,143,49,17,81
historical_notnull,2005,1725,677,295,279,103,410,158,54,88,338
historical_notnull,2006,1747,726,351,261,114,398,163,44,83,333
historical_notnull,2007,3078,1405,748,438,219,756,234,70,144,469
historical_notnull,2008,2704,1243,658,365,220,725,190,61,98,387
historical_notnull,2009,3905,1769,985,442,342,1226,206,107,133,464
historical_notnull,2010,3329,1570,835,462,273,935,192,101,110,421
historical_notnull,2011,5108,2512,1480,588,444,1550,262,114,155,515
historical_notnull,2012,4019,1931,1090,537,304,1183,206,131,160,408
historical_notnull,2013,3777,2100,1185,582,333,989,250,125,104,209
historical_notnull,2014,4209,2420,1454,662,304,986,278,118,126,281
historical_notnull,2015,3845,2299,1368,621,310,915,211,131,100,189
historical_notnull,2016,4288,2698,1662,714,322,935,231,119,99,206
historical_notnull,2017,3721,2342,1423,632,287,839,174,112,89,165
historical_notnull,2018,4131,2630,1655,651,324,860,206,143,119,173
historical_notnull,2019,4536,3102,1995,741,366,812,200,154,118,150
historical_notnull,2020,4637,3172,2120,728,324,831,211,141,157,125
historical_notnull,2021,5903,4115,2897,778,440,1112,196,178,147,155
historical_notnull,2022,6261,4451,3230,813,408,1127,204,184,140,155
historical_notnull,2023,6656,4838,3655,738,445,1118,187,172,163,178
historical_notnull,2024,8610,6578,5229,834,515,1221,192,180,237,202
historical_notnull,2025,8171,6510,5374,658,478,1000,198,184,175,104
