model,n_old,old_pct,n_new,new_pct,delta_pp
MiniMax-M3,302,49.00662251655629,292,77.73972602739725,28.733103510840962
GLM-5.3,298,55.033557046979865,291,83.16151202749141,28.127954980511547
DeepSeek-V4.1-Flash,299,54.18060200668896,282,85.81560283687944,31.635000830190478
Claude-Sonnet-5,302,49.00662251655629,293,80.88737201365188,31.880749497095593
