scope,window,n,method_dev,method_dev_pct,propose_new,propose_new_pct,improve,improve_pct,hybrid,hybrid_pct,apply,apply_pct,theory,theory_pct,benchmark,benchmark_pct,review,review_pct,other,other_pct
target_nonempty,1996-2000,1282,630,49.141965678627145,342,26.67706708268331,202,15.756630265210608,86,6.708268330733229,238,18.564742589703588,193,15.054602184087361,45,3.5101404056162244,39,3.0421216848673946,137,10.686427457098285
target_nonempty,2001-2005,5087,2416,47.49361116571653,1185,23.29467269510517,855,16.807548653430313,376,7.39138981718105,1246,24.493807745232946,562,11.047768822488695,176,3.4597994888932573,146,2.8700609396500885,541,10.634951838018479
target_nonempty,2006-2010,14700,6703,45.59863945578231,3574,24.312925170068027,1963,13.353741496598639,1166,7.931972789115646,4035,27.448979591836736,979,6.659863945578231,380,2.585034013605442,555,3.7755102040816326,2048,13.931972789115646
target_nonempty,2011-2015,20785,11240,54.07745970651913,6572,31.61895597786866,2975,14.313206639403417,1693,8.145297089247054,5615,27.01467404378157,1199,5.768583112821746,617,2.9684868895838346,592,2.8482078421938897,1522,7.322588405099832
target_nonempty,2016-2020,21092,13918,65.98710411530439,8846,41.940072065238006,3450,16.356912573487577,1622,7.690119476578798,4275,20.26834818888678,1015,4.812251090460838,666,3.157595296794993,488,2.3136734306846196,730,3.461027877868386
target_nonempty,2021-2025,35364,26421,74.71157108924331,20360,57.57267277457301,3784,10.700147042189798,2277,6.438751272480489,5570,15.750480714851262,973,2.7513855898654,893,2.525166836330732,792,2.2395656599932137,715,2.0218301097160953
core_nonempty,1996-2000,680,372,54.70588235294118,163,23.97058823529412,146,21.470588235294116,63,9.264705882352942,154,22.647058823529413,92,13.529411764705882,35,5.147058823529411,17,2.5,10,1.4705882352941175
core_nonempty,2001-2005,3535,1940,54.879773691654876,878,24.83734087694484,762,21.555869872701557,300,8.486562942008486,908,25.685997171145686,435,12.305516265912306,155,4.384724186704385,51,1.4427157001414428,46,1.3012729844413014
core_nonempty,2006-2010,6176,3621,58.630181347150256,1596,25.841968911917096,1449,23.46178756476684,576,9.32642487046632,1475,23.882772020725387,586,9.488341968911918,278,4.501295336787565,95,1.5382124352331605,121,1.95919689119171
core_nonempty,2011-2015,6505,3926,60.35357417371253,1772,27.24058416602613,1598,24.565718677940048,556,8.54727132974635,1413,21.721752498078402,520,7.993850883935434,355,5.457340507302075,148,2.275172943889316,143,2.1983089930822444
core_nonempty,2016-2020,7232,4619,63.86891592920354,2249,31.097898230088493,1772,24.50221238938053,598,8.268805309734512,1401,19.372234513274336,495,6.844579646017699,408,5.641592920353982,176,2.433628318584071,133,1.8390486725663717
core_nonempty,2021-2025,7930,5549,69.97477931904162,3338,42.09331651954603,1523,19.205548549810842,688,8.675914249684743,1123,14.16141235813367,459,5.788146279949559,530,6.6834804539722565,184,2.320302648171501,85,1.0718789407313998
ec_nonempty,1996-2000,736,409,55.57065217391305,180,24.456521739130434,155,21.059782608695652,74,10.054347826086957,166,22.554347826086957,95,12.907608695652172,36,4.891304347826087,19,2.5815217391304346,11,1.4945652173913044
ec_nonempty,2001-2005,3670,2030,55.313351498637594,912,24.850136239782017,786,21.416893732970028,332,9.04632152588556,940,25.61307901907357,439,11.961852861035423,158,4.305177111716621,57,1.553133514986376,46,1.2534059945504086
ec_nonempty,2006-2010,7270,4336,59.6423658872077,1869,25.708390646492436,1613,22.187070151306738,854,11.746905089408529,1777,24.442916093535075,600,8.253094910591471,304,4.181568088033012,125,1.71939477303989,128,1.7606602475928472
ec_nonempty,2011-2015,9582,6080,63.45230640784805,2601,27.14464621164684,2276,23.7528699645168,1203,12.554790231684409,2125,22.176998538927155,562,5.865163848883323,439,4.581506992277187,221,2.306407848048424,155,1.6176163640158632
ec_nonempty,2016-2020,10677,7310,68.46492460428959,3416,31.994005806874593,2695,25.241172614030162,1199,11.229746183384846,1980,18.544534981736444,536,5.020136742530673,485,4.542474477849583,231,2.163529081202585,135,1.264400112391121
ec_nonempty,2021-2025,12082,9143,75.6745571925178,5279,43.69309716934283,2498,20.67538487005463,1366,11.306075153120345,1529,12.655189538155934,497,4.113557358053303,599,4.957788445621586,225,1.8622744578712134,89,0.7366330077801688
historical_notnull,1996-2000,1314,645,49.08675799086758,347,26.40791476407915,210,15.981735159817351,88,6.69710806697108,246,18.72146118721461,195,14.840182648401825,49,3.7290715372907153,41,3.1202435312024352,138,10.50228310502283
historical_notnull,2001-2005,5178,2445,47.21900347624565,1196,23.09772112784859,871,16.821166473541908,378,7.300115874855156,1264,24.410969486288142,574,11.08536114329857,181,3.495558130552337,155,2.9934337582078023,559,10.795674005407493
historical_notnull,2006-2010,14763,6713,45.47178757705074,3577,24.229492650545282,1968,13.330623856939647,1168,7.911671069565807,4040,27.365711576237896,985,6.672085619454041,383,2.594323646955226,568,3.847456479035426,2074,14.04863510126668
historical_notnull,2011-2015,20958,11262,53.73604351560264,6577,31.381811241530684,2990,14.26662849508541,1695,8.087603778986544,5623,26.829850176543562,1207,5.759137322263575,619,2.953526099818685,645,3.0775837389063843,1602,7.643859146865159
historical_notnull,2016-2020,21313,13944,65.42485806784592,8855,41.54741237742223,3466,16.262375076244545,1623,7.61507061417914,4277,20.067564397316193,1022,4.795195420635293,669,3.1389292919814196,582,2.73072772486276,819,3.8427250973584197
historical_notnull,2021-2025,35601,26492,74.41364006629027,20385,57.25962753855228,3821,10.732844583017332,2286,6.421167944720654,5578,15.66809921069633,977,2.7443049352546276,898,2.522401056150108,862,2.421280301115137,794,2.2302744304935254
