numerator,denominator,point,lower,upper,family_size
Mixed journals,Core EC conferences,8.161457570828222,1.7096371540481212,26.576905694486292,24
Mixed journals,Core EC journals,4.84641577834149,1.5812006628502562,13.597370292256704,24
SSCI (mixed conf.),Core EC conferences,7.72126901518081,1.5484288953676708,24.510582010582013,24
SSCI (mixed conf.),Core EC journals,4.585024140509514,1.4321031746031747,12.540190476190476,24
