domain,target_nonempty|1996-2000,target_nonempty|2021-2025,core_nonempty|1996-2000,core_nonempty|2021-2025,ec_nonempty|1996-2000,ec_nonempty|2021-2025
target_nonempty|1996-2000,3746.5877961144824,1.0100893728692404e-14,104.4455719219763,0.0,104.4455719219763,0.0
target_nonempty|2021-2025,1.0100893728692404e-14,3297529.0528343003,0.0,643348.6893359348,0.0,643348.6893359348
core_nonempty|1996-2000,104.4455719219763,0.0,117.33066650403003,0.0,117.33066650403003,0.0
core_nonempty|2021-2025,0.0,643348.6893359348,0.0,636934.361673841,0.0,636934.361673841
ec_nonempty|1996-2000,104.4455719219763,0.0,117.33066650403003,0.0,117.33066650403003,0.0
ec_nonempty|2021-2025,0.0,643348.6893359348,0.0,636934.361673841,0.0,636934.361673841
