window,numerator,denominator,narrow_ratio,wide_ratio,keyword_ratio,equal_venue_ratio
2016-2020,Mixed journals,Core EC conferences,6.881720430107528,3.2762644072610225,1.6870343742369571,7.70552005684043
2016-2020,Mixed journals,Core EC journals,34.93796526054591,7.445400872764611,3.981436435274033,18.00195514837195
2016-2020,SSCI (mixed conf.),Core EC conferences,12.756823060410916,5.927851396582434,3.1624475508784524,17.50348396771758
2016-2020,SSCI (mixed conf.),Core EC journals,64.76540938362464,13.47120515179393,7.463442414684366,40.89236430542778
2021-2023,Mixed journals,Core EC conferences,15.475083056478406,4.086407377706495,2.4143234672304437,7.541196077484779
2021-2023,Mixed journals,Core EC journals,7.192921089542677,3.8774280801901075,2.801738202207005,8.87409118729311
2021-2023,SSCI (mixed conf.),Core EC conferences,17.402008422416586,4.436762061146298,2.6162337662337656,12.536758951087991
2021-2023,SSCI (mixed conf.),Core EC journals,8.088568760837669,4.209865588747577,3.0360480640854473,14.752612315336329
2021-2025,Mixed journals,Core EC conferences,12.929911117806567,3.3144671926417137,2.3803396711120977,7.742198049143989
2021-2025,Mixed journals,Core EC journals,7.211388184308805,3.9410590539319066,2.8859003196503585,6.352983350117023
2021-2025,SSCI (mixed conf.),Core EC conferences,11.99294532627866,2.9708908536270098,2.1473684210526316,11.23468397958334
2021-2025,SSCI (mixed conf.),Core EC journals,6.688815060908083,3.532530454042082,2.6034482758620685,9.2187980484445
